'n | SURFACE:'n
alquanti | SURFACE:alquanti
alquanto | SURFACE:alquanto
alras | SURFACE:alras
already | SURFACE:already
already | SURFACE:already
alreeds | SURFACE:alreeds
als | SURFACE:als
alsjeblieft | SURFACE:alsjeblieft
alsmaar | SURFACE:alsmaar
alsmede | SURFACE:alsmede
alsnog | SURFACE:alsnog
also | SURFACE:also
also | SURFACE:also
alsof | SURFACE:alsof
alsook | SURFACE:alsook
alstublieft | SURFACE:alstublieft
alta | SURFACE:alta
altaan | SURFACE:altaan
altahan | SURFACE:altahan
altakaan | SURFACE:altakaan
altakin | SURFACE:altakin
altako | SURFACE:altako
altamme | SURFACE:altamme
altani | SURFACE:altani
altanne | SURFACE:altanne
altansa | SURFACE:altansa
altapa | SURFACE:altapa
altasi | SURFACE:altasi
altegader | SURFACE:altegader
alter_its_proposal | SURFACE:alter_its_proposal
althans | SURFACE:althans
although | SURFACE:although
although | SURFACE:although
altijd | SURFACE:altijd
altoos | SURFACE:altoos
altra | SURFACE:altra
altre | SURFACE:altre
altrettanta | SURFACE:altrettanta
altrettante | SURFACE:altrettante
altrettanti | SURFACE:altrettanti
altrettanto | SURFACE:altrettanto
altri | SURFACE:altri
altro | SURFACE:altro
altroché | SURFACE:altroché
altrui | SURFACE:altrui
alvast | SURFACE:alvast
alvorens | SURFACE:alvorens
alwaar | SURFACE:alwaar
always | SURFACE:always
always | SURFACE:always
alweder | SURFACE:alweder
alweer | SURFACE:alweer
alzo | SURFACE:alzo
alô | SURFACE:alô
am | SURFACE:am
am | SURFACE:am
ambas | SURFACE:ambas
ambedue | SURFACE:ambedue
ambiente | SURFACE:ambiente
ambo | SURFACE:ambo
ambos | SURFACE:ambos
ambtshalve | SURFACE:ambtshalve
ambtswege | SURFACE:ambtswege
amen | SURFACE:amen
amend | SURFACE:amend
amend_as_follow | SURFACE:amend_as_follow
amend_by_directive | SURFACE:amend_by_directive
amend_by_parliament | SURFACE:amend_by_parliament
amend_by_regulation | SURFACE:amend_by_regulation
amend_its_proposal | SURFACE:amend_its_proposal
amend_regulation | SURFACE:amend_regulation
amend_regulation_eec | SURFACE:amend_regulation_eec
amend_text | SURFACE:amend_text
amend_text_add | SURFACE:amend_text_add
amend_text_article | SURFACE:amend_text_article
amend_text_delete | SURFACE:amend_text_delete
amended | SURFACE:amended
amendment | SURFACE:amendment
amendment_annex | SURFACE:amendment_annex
amendment_annex_ii | SURFACE:amendment_annex_ii
amendment_annex_iii | SURFACE:amendment_annex_iii
amendment_article | SURFACE:amendment_article
amendment_recital | SURFACE:amendment_recital
amendment_rule | SURFACE:amendment_rule
amends | SURFACE:amends
amends_the_common_position | SURFACE:amends_the_common_position
amfitheatersgewijze | SURFACE:amfitheatersgewijze
among | SURFACE:among
among | SURFACE:among
among_other | SURFACE:among_other
amongst | SURFACE:amongst
amongst | SURFACE:amongst
amount_to | SURFACE:amount_to
amper | SURFACE:amper
an | SURFACE:an
an | SURFACE:an
anbelangande | SURFACE:anbelangande
anche | SURFACE:anche
ancorché | SURFACE:ancorché
and | SURFACE:and
and | SURFACE:and
and_all | SURFACE:and_all
and_also | SURFACE:and_also
and_how | SURFACE:and_how
and_much | SURFACE:and_much
and_not | SURFACE:and_not
and_other | SURFACE:and_other
and_so | SURFACE:and_so
and_so_on | SURFACE:and_so_on
and_the_like | SURFACE:and_the_like
and_then | SURFACE:and_then
anden | SURFACE:anden
anderdeels | SURFACE:anderdeels
anderer | SURFACE:anderer
andererseits | SURFACE:andererseits
andermaal | SURFACE:andermaal
anders | SURFACE:anders
andersom | SURFACE:andersom
anderszins | SURFACE:anderszins
anderzijds | SURFACE:anderzijds
andet | SURFACE:andet
andra | SURFACE:andra
andre | SURFACE:andre
andsynes | SURFACE:andsynes
anexo | SURFACE:anexo
anexo_i | SURFACE:anexo_i
anexo_ii | SURFACE:anexo_ii
anexo_iii | SURFACE:anexo_iii
anexo_iv | SURFACE:anexo_iv
anfangs | SURFACE:anfangs
ang. | SURFACE:ang.
angesichts | SURFACE:angesichts
angående | SURFACE:angående
anhand | SURFACE:anhand
anlässlich | SURFACE:anlässlich
anläßlich | SURFACE:anläßlich
anna | SURFACE:anna
annakvar | SURFACE:annakvar
annakvart | SURFACE:annakvart
annan | SURFACE:annan
annankvar | SURFACE:annankvar
annars | SURFACE:annars
annat | SURFACE:annat
annen | SURFACE:annen
annenhver | SURFACE:annenhver
annenkvar | SURFACE:annenkvar
annet | SURFACE:annet
annethvert | SURFACE:annethvert
annex | SURFACE:annex
annex_i | SURFACE:annex_i
annex_i_to_directive | SURFACE:annex_i_to_directive
annex_ii | SURFACE:annex_ii
annex_iii | SURFACE:annex_iii
annex_iv | SURFACE:annex_iv
annex_ix | SURFACE:annex_ix
annex_v | SURFACE:annex_v
annex_vi | SURFACE:annex_vi
annex_vii | SURFACE:annex_vii
annex_viii | SURFACE:annex_viii
annex_x | SURFACE:annex_x
anno | SURFACE:anno
announce | SURFACE:announce
announce | SURFACE:announce
another | SURFACE:another
another | SURFACE:another
ansioksi | SURFACE:ansioksi
ansioksihan | SURFACE:ansioksihan
ansioksikaan | SURFACE:ansioksikaan
ansioksikin | SURFACE:ansioksikin
ansioksiko | SURFACE:ansioksiko
ansioksipa | SURFACE:ansioksipa
ansiona | SURFACE:ansiona
ansionahan | SURFACE:ansionahan
ansionakaan | SURFACE:ansionakaan
ansionakin | SURFACE:ansionakin
ansionako | SURFACE:ansionako
ansionapa | SURFACE:ansionapa
ansiosta | SURFACE:ansiosta
ansiostahan | SURFACE:ansiostahan
ansiostakaan | SURFACE:ansiostakaan
ansiostakin | SURFACE:ansiostakin
ansiostako | SURFACE:ansiostako
ansiostapa | SURFACE:ansiostapa
anstatt | SURFACE:anstatt
anstelle | SURFACE:anstelle
anten | SURFACE:anten
anterior_resolución | SURFACE:anterior_resolución
antingen | SURFACE:antingen
any | SURFACE:any
any | SURFACE:any
any_one | SURFACE:any_one
any_other | SURFACE:any_other
any_time | SURFACE:any_time
anybody | SURFACE:anybody
anybody | SURFACE:anybody
anyhow | SURFACE:anyhow
anyhow | SURFACE:anyhow
anyone | SURFACE:anyone
anyone | SURFACE:anyone
anything | SURFACE:anything
anything | SURFACE:anything
anyway | SURFACE:anyway
anyways | SURFACE:anyways
anywhere | SURFACE:anywhere
anywhere | SURFACE:anywhere
anzi | SURFACE:anzi
anziché | SURFACE:anziché
ao | SURFACE:ao
aonde | SURFACE:aonde
aos | SURFACE:aos
apart | SURFACE:apart
apart_from | SURFACE:apart_from
apartado | SURFACE:apartado
apartarse | SURFACE:apartarse
apartarse_del_texto | SURFACE:apartarse_del_texto
apegapen | SURFACE:apegapen
apenas | SURFACE:apenas
apertura_del_procedimiento | SURFACE:apertura_del_procedimiento
apesar | SURFACE:apesar
aplicable | SURFACE:aplicable
aplicación | SURFACE:aplicación
aplicación_de_la_directivo | SURFACE:aplicación_de_la_directivo
aplicación_de_la_presente | SURFACE:aplicación_de_la_presente
aplicación_del_artículo | SURFACE:aplicación_del_artículo
aplicación_del_presente_reglamento | SURFACE:aplicación_del_presente_reglamento
aplicación_del_principio | SURFACE:aplicación_del_principio
aplicación_del_programa | SURFACE:aplicación_del_programa
apoyo | SURFACE:apoyo
apparently | SURFACE:apparently
apparently | SURFACE:apparently
appear | SURFACE:appear
appears | SURFACE:appears
appena | SURFACE:appena
applicable | SURFACE:applicable
application | SURFACE:application
application_of_article | SURFACE:application_of_article
applications | SURFACE:applications
applies | SURFACE:applies
apply | SURFACE:apply
apply_to | SURFACE:apply_to
appreciate | SURFACE:appreciate
approach | SURFACE:approach
appropriate | SURFACE:appropriate
appropriate | SURFACE:appropriate
appropriate_for | SURFACE:appropriate_for
approve | SURFACE:approve
approve_by_parliament | SURFACE:approve_by_parliament
approve_the_commission_proposal | SURFACE:approve_the_commission_proposal
approve_with_the_following_amendment | SURFACE:approve_with_the_following_amendment
approved | SURFACE:approved
apr. | SURFACE:apr.
april | SURFACE:april
apriori | SURFACE:apriori
aprobado | SURFACE:aprobado
aprobado_por_el_consejo | SURFACE:aprobado_por_el_consejo
aprobar | SURFACE:aprobar
aprobar_con_las_modificación | SURFACE:aprobar_con_las_modificación
aprobar_la_propuesta | SURFACE:aprobar_la_propuesta
apropos | SURFACE:apropos
apropå | SURFACE:apropå
aproximación_de_las_legislación | SURFACE:aproximación_de_las_legislación
après | SURFACE:après
apéndice | SURFACE:apéndice
após | SURFACE:após
aquando | SURFACE:aquando
aquela | SURFACE:aquela
aquelas | SURFACE:aquelas
aquele | SURFACE:aquele
aqueles | SURFACE:aqueles
aquilo | SURFACE:aquilo
are | SURFACE:are
are | SURFACE:are
area | SURFACE:area
areas | SURFACE:areas
aren | SURFACE:aren
aren | SURFACE:aren
aren't | SURFACE:aren't
aren't | SURFACE:aren't
arent | SURFACE:arent
arent | SURFACE:arent
arise | SURFACE:arise
arise | SURFACE:arise
around | SURFACE:around
around | SURFACE:around
arrangements | SURFACE:arrangements
arre | SURFACE:arre
arreglo | SURFACE:arreglo
arreglo_al_apartado | SURFACE:arreglo_al_apartado
arrivederci | SURFACE:arrivederci
arrivederla | SURFACE:arrivederla
arrière | SURFACE:arrière
article | SURFACE:article
article_a_new_article | SURFACE:article_a_new_article
article_a_of_the_ec_treaty | SURFACE:article_a_of_the_ec_treaty
article_a_of_the_treaty | SURFACE:article_a_of_the_treaty
article_b_of_the_ec_treaty | SURFACE:article_b_of_the_ec_treaty
article_b_of_the_treaty | SURFACE:article_b_of_the_treaty
article_be_replace | SURFACE:article_be_replace
article_c_of_the_ec_treaty | SURFACE:article_c_of_the_ec_treaty
article_ca_of_the_ec_treaty | SURFACE:article_ca_of_the_ec_treaty
article_d_of_the_ec_treaty | SURFACE:article_d_of_the_ec_treaty
article_d_of_the_treaty | SURFACE:article_d_of_the_treaty
article_e_of_the_ec_treaty | SURFACE:article_e_of_the_ec_treaty
article_e_of_the_treaty | SURFACE:article_e_of_the_treaty
article_of_directive | SURFACE:article_of_directive
article_of_directive_ec | SURFACE:article_of_directive_ec
article_of_directive_eec | SURFACE:article_of_directive_eec
article_of_regulation | SURFACE:article_of_regulation
article_of_regulation_ec | SURFACE:article_of_regulation_ec
article_of_regulation_eec | SURFACE:article_of_regulation_eec
article_of_the_decision | SURFACE:article_of_the_decision
article_of_the_ec_treaty | SURFACE:article_of_the_ec_treaty
article_of_the_eec_treaty | SURFACE:article_of_the_eec_treaty
article_of_the_treaty | SURFACE:article_of_the_treaty
article_propose | SURFACE:article_propose
article_regulation | SURFACE:article_regulation
article_this_directive | SURFACE:article_this_directive
articles | SURFACE:articles
articular | SURFACE:articular
arton | SURFACE:arton
artonde | SURFACE:artonde
artículo | SURFACE:artículo
artículo_del_acuerdo | SURFACE:artículo_del_acuerdo
as | SURFACE:as
as | SURFACE:as
as | SURFACE:as
as_a_consequence | SURFACE:as_a_consequence
as_a_result | SURFACE:as_a_result
as_a_result_of | SURFACE:as_a_result_of
as_a_whole | SURFACE:as_a_whole
as_be | SURFACE:as_be
as_can_be | SURFACE:as_can_be
as_far_as | SURFACE:as_far_as
as_follow | SURFACE:as_follow
as_for | SURFACE:as_for
as_if | SURFACE:as_if
as_it_be | SURFACE:as_it_be
as_many | SURFACE:as_many
as_much | SURFACE:as_much
as_much_as_possible | SURFACE:as_much_as_possible
as_new | SURFACE:as_new
as_of | SURFACE:as_of
as_one | SURFACE:as_one
as_require | SURFACE:as_require
as_such | SURFACE:as_such
as_to | SURFACE:as_to
as_well | SURFACE:as_well
as_well_as | SURFACE:as_well_as
asamblea_general | SURFACE:asamblea_general
asemesta | SURFACE:asemesta
asemestahan | SURFACE:asemestahan
asemestakaan | SURFACE:asemestakaan
asemestakin | SURFACE:asemestakin
asemestako | SURFACE:asemestako
asemestapa | SURFACE:asemestapa
aside | SURFACE:aside
aside | SURFACE:aside
asimismo | SURFACE:asimismo
asir | SURFACE:asir
asjeblieft | SURFACE:asjeblieft
ask | SURFACE:ask
ask_the_commission | SURFACE:ask_the_commission
ask_to_be_consult | SURFACE:ask_to_be_consult
asking | SURFACE:asking
asociación | SURFACE:asociación
asociado | SURFACE:asociado
aspect | SURFACE:aspect
assent_procedure | SURFACE:assent_procedure
assim | SURFACE:assim
assist_by_a_committee | SURFACE:assist_by_a_committee
associated | SURFACE:associated
asti | SURFACE:asti
astihan | SURFACE:astihan
